#
# No. Freq (Hz)		Measurement	Observed Passband	Measurement	Uncertainty	Units		Uncertainty	Units	Reference Code
#
  141    1.20E+13 	9.50E-02	IRAS 25 microns 	95.0 	+/- 19.0 	mJy 	 	+/- 1.90E-02 	Jy 	1988AJ.....95..307I
  142    5.00E+12 	1.81E-01	IRAS 60 microns 	181.0 	+/- 22.0 	mJy 	 	+/- 2.20E-02 	Jy 	1988AJ.....95..307I
  143    3.00E+12 	3.61E-01	IRAS 100 microns 	361.0 	+/- 68.0 	mJy 	 	+/- 6.80E-02 	Jy 	1988AJ.....95..307I
  144    3.75E+11 	2.10E-01	375 GHz 		0.21 	+/- 0.05 	Jy 	 	+/- 5.00E-02 	Jy 	1994MNRAS.267..167G
  145    2.70E+11 	3.10E-01	270 GHz 		0.31 	+/- 0.03 	Jy 	 	+/- 3.00E-02 	Jy 	1994MNRAS.267..167G
  146    2.30E+11 	2.70E-01	230 GHz 		0.27 	+/- 0.03 	Jy 	 	+/- 3.00E-02 	Jy 	1994MNRAS.267..167G
  147    9.30E+10 	2.80E-01	3.2 mm 			0.28 	+/- 0.08 	Jy 	 	+/- 8.00E-02 	Jy 	1976PASP...88..870J
  148    9.00E+10 	5.40E-01	90 GHz 			0.54 	+/- 0.12 	Jy 	 	+/- 1.20E-01 	Jy 	1978ApJ...224...22O
  149    3.70E+10 	5.00E-01	37 GHz 			0.50 	+/- 0.08 	Jy 	 	+/- 8.00E-02 	Jy 	1994MNRAS.267..167G
  150    2.22E+10 	4.40E-01	22 GHz 			0.44 	+/- 0.12 	Jy 	 	+/- 1.20E-01 	Jy 	1978ApJ...224...22O
  151    2.20E+10 	4.80E-01	22 GHz 			0.48 	+/- 0.21 	Jy 	 	+/- 2.10E-01 	Jy 	1994MNRAS.267..167G
  152    1.51E+10 	6.40E-01	15 GHz 			0.64 	+/- 0.05 	Jy 	 	+/- 5.00E-02 	Jy 	1978ApJ...224...22O
  153    1.50E+10 	5.20E-01	15 GHz (VLBA) 		0.52 	... 		Jy 	 	... 		Jy 	2005AJ....130.2473K
  154    8.40E+09 	6.31E-01	8.4 GHz 		631 	... 		mJy 	 	... 		Jy 	1992MNRAS.254..655P
  155    5.00E+09 	7.30E-01	5 GHz 			0.73 	+/- 0.06 	Jy 	 	+/- 6.00E-02 	Jy 	1994MNRAS.267..167G
  156    4.85E+09 	7.22E-01	4.85 GHz 		722 	+/- 89 		mJy 	 	+/- 8.90E-02 	Jy 	1991ApJS...75.1011G
  157    4.85E+09 	7.12E-01	4.85 GHz 		712 	+/- 15 % 	mJy 	 	+/- 1.07E-01 	Jy 	1991ApJS...75....1B
  158    4.58E+09 	6.10E-01	4.6 GHz 		0.61 	+/- 0.03 	Jy 	 	+/- 3.00E-02 	Jy 	1978ApJ...224...22O
  159    1.40E+09 	8.35E-01	1.40 GHz 		835 	... 		mJy 	 	... 		Jy 	1992ApJS...79..331W
  160    1.40E+09 	5.49E-01	1.4GHz 			548.77 	+/- 5 % 	mJy 	 	+/- 2.74E-02 	Jy 	1995ApJ...450..559B
  161    1.40E+09 	5.78E-01	1.4GHz 			577.69 	... 		mJy 	 	... 		Jy 	1995ApJ...450..559B
  162    1.38E+09 	6.30E-01	1.38 GHz 		0.63 	+/- 0.03 	Jy 	 	+/- 3.00E-02 	Jy 	1978ApJ...224...22O
  163    4.08E+08 	1.15E+00	408 MHz 		1.148 	+/- 8 % 	Jy 	 	+/- 9.18E-02 	Jy 	1973A&AS...11..291C
  164    4.08E+08 	1.14E+00	408 MHz 		1.14 	+/- 0.03 	Jy 	 	+/- 3.03E-02 	Jy 	1985A&AS...59..255F
  165    3.65E+08 	7.76E-01	Texas 365 MHz 		0.776 	+/- 0.019 	Jy 	 	+/- 1.90E-02 	Jy 	1996AJ....111.1945D
  166    7.40E+07 	1.74E+00	74 MHz (VLA) 		1.74 	+/- 0.32 	Jy 	 	+/- 3.20E-01 	Jy 	2005A&A...435..863M
