# INPUT : tev01_wrbr_hfreb2_pca_5_23_32
# LabelHelper : tp
#   xtt         xtt1       xtt2       dtt        rt       ert          rx       erx      nx       rxmin        rxmax
# 
  544906.66  544066.66  545746.66   1680.0     3.1368    0.1761      0.0100    0.0001     0     0.0100       0.0100
  546597.50  545757.50  547437.50   1680.0     4.3900    0.1960    116.5766    5.1388    39   109.3149     127.4855
  548285.76  547445.76  549125.76   1680.0     3.2927    0.2042    109.3435    4.1663    39   100.7180     116.6358
  598719.08  597819.05  599619.11   1800.1     2.6435    0.3383      0.0100    0.0001     0     0.0100       0.0100
  600517.07  599617.30  601416.84   1799.5     3.3291    0.3424      0.0100    0.0001     0     0.0100       0.0100
  602316.86  601417.01  603216.72   1799.7     3.2738    0.3380      0.0100    0.0001     0     0.0100       0.0100
  604106.12  603202.21  605010.04   1807.8     3.0105    0.3248      0.0100    0.0001     0     0.0100       0.0100
  605921.21  605021.49  606820.94   1799.5     3.1755    0.3349      0.0100    0.0001     0     0.0100       0.0100
  607720.49  606820.94  608620.05   1799.1     3.1183    0.3340      0.0100    0.0001     0     0.0100       0.0100
  609520.03  608620.09  610419.97   1799.9     3.4139    0.3429      0.0100    0.0001     0     0.0100       0.0100
  611317.67  610418.64  612216.71   1798.1     2.9414    0.3422      0.0100    0.0001     0     0.0100       0.0100
  613116.52  612217.09  614015.94   1798.8     2.7262    0.3716      0.0100    0.0001     0     0.0100       0.0100
  614080.14  614015.34  614144.94    129.6     3.4167    1.7164      0.0100    0.0001     0     0.0100       0.0100
  628804.51  627964.51  629644.51   1680.0     1.1379    0.1540      0.0100    0.0001     0     0.0100       0.0100
  630491.04  629651.04  631331.04   1680.0     2.7210    0.1770      0.0100    0.0001     0     0.0100       0.0100
  632778.91  631938.91  633618.91   1680.0     3.1278    0.2022      0.0100    0.0001     0     0.0100       0.0100
  634468.03  633628.03  635308.03   1680.0     3.4018    0.2185      0.0100    0.0001     0     0.0100       0.0100
  643534.85  642694.85  644374.85   1680.0     3.4257    0.5527      0.0100    0.0001     0     0.0100       0.0100
  684289.99  683390.05  685189.93   1799.9     2.6735    0.3554      0.0100    0.0001     0     0.0100       0.0100
  686089.96  685189.97  686989.94   1800.0     2.7322    0.3331      0.0100    0.0001     0     0.0100       0.0100
  687889.93  686989.94  688789.91   1800.0     3.2596    0.3721      0.0100    0.0001     0     0.0100       0.0100
  689690.76  688780.45  690601.07   1820.6     3.8790    0.3763      0.0100    0.0001     0     0.0100       0.0100
  691510.35  690610.97  692409.73   1798.8     3.1826    0.3725      0.0100    0.0001     0     0.0100       0.0100
